City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Xuddur,SO,2021-12-28 17:35:43,4.1213,43.8894,78.1,24,47,11.32
68,Ondangwa,NA,2021-12-28 17:35:44,-17.9167,15.95,87.8,17,46,9.15
69,Cabo San Lucas,MX,2021-12-28 17:33:31,22.8909,-109.9124,78.62,46,1,6.91
70,Tura,IN,2021-12-28 17:35:44,25.5198,90.2201,58.84,62,95,3.76
71,Korla,CN,2021-12-28 17:35:44,41.7597,86.1469,17.87,73,63,1.25
72,Hailar,CN,2021-12-28 17:35:45,49.2,119.7,-20.7,100,49,2.8
73,Hobart,AU,2021-12-28 17:35:45,-42.8794,147.3294,52.05,89,34,5.75
74,Kovdor,RU,2021-12-28 17:35:46,67.5662,30.4758,4.59,98,98,3.56
75,Si Sa Ket,TH,2021-12-28 17:35:46,14.8333,104.3333,70.83,81,57,6.73
76,Kargasok,RU,2021-12-28 17:35:46,59.0556,80.8572,8.11,97,89,7.83
77,Butajira,ET,2021-12-28 17:35:47,8.1167,38.3667,63.25,41,40,5.68
78,Aktash,RU,2021-12-28 17:35:47,50.3,87.7333,-6.02,85,50,4.83
79,Port Elizabeth,ZA,2021-12-28 17:35:47,-33.918,25.5701,69.1,88,20,18.41
80,Warri,NG,2021-12-28 17:35:48,5.5167,5.75,82.63,62,98,7.29
81,Canon City,US,2021-12-28 17:34:21,38.441,-105.2424,45.45,24,1,8.99
82,Yulara,AU,2021-12-28 17:35:48,-25.2406,130.9889,75.04,15,13,6.91
83,Chapais,CA,2021-12-28 17:35:48,49.7834,-74.8492,4.78,82,100,5.06
84,Am Timan,TD,2021-12-28 17:35:49,11.0297,20.2827,83.37,19,99,3.8
85,Okha,RU,2021-12-28 17:35:49,53.5739,142.9478,-12.33,91,100,18.75
86,Mehamn,NO,2021-12-28 17:35:49,71.0357,27.8492,21.38,73,20,17.27
87,Watertown,US,2021-12-28 17:31:17,42.3709,-71.1828,46.87,86,40,5.01
88,Bereda,ES,2021-12-28 17:35:50,43.2686,-7.5406,58.91,78,76,9.64
89,Meulaboh,ID,2021-12-28 17:35:50,4.1363,96.1285,77.29,85,87,2.01
90,Teahupoo,PF,2021-12-28 17:35:50,-17.8333,-149.2667,74.53,75,92,5.97
91,Lorengau,PG,2021-12-28 17:36:51,-2.0226,147.2712,81.45,76,59,4.52
92,Vanimo,PG,2021-12-28 17:36:51,-2.6741,141.3028,77.13,88,100,6.53
93,Esperance,AU,2021-12-28 17:36:52,-33.8667,121.9,57.04,85,12,15.35
94,Arroyo,ES,2021-12-28 17:36:52,41.6096,-4.7969,54.14,82,20,12.66
95,Puerto Ayora,EC,2021-12-28 17:36:53,-0.7393,-90.3518,78.76,75,91,10.96
96,Praia Da Vitoria,PT,2021-12-28 17:36:53,38.7333,-27.0667,66.76,94,90,35.86
97,Pervomayskoye,RU,2021-12-28 17:36:53,43.919,46.7102,44.4,84,78,11.92
98,Geraldton,AU,2021-12-28 17:36:54,-28.7667,114.6,72.01,64,27,3.44
99,Faanui,PF,2021-12-28 17:36:54,-16.4833,-151.75,80.6,72,100,5.88
100,Isangel,VU,2021-12-28 17:36:54,-19.55,169.2667,80.15,84,93,5.68
101,Nazilli,TR,2021-12-28 17:36:15,37.9163,28.3223,50.02,86,64,4.74
