City_ID,City,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
78,Itarema,-2.9248,-39.9167,clear sky,82.9,67,5,12.97,BR
79,Thompson,55.7435,-97.8558,broken clouds,-14.08,87,83,8.39,CA
80,Avarua,-21.2078,-159.775,few clouds,82.45,74,20,5.75,CK
81,Camacha,33.0833,-16.3333,scattered clouds,61.54,77,40,14.97,PT
82,Chokurdakh,70.6333,147.9167,overcast clouds,-32.26,98,97,2.82,RU
83,Dingle,10.9995,122.6711,few clouds,71.56,93,14,7.11,PH
84,Washougal,45.5826,-122.3534,haze,57.47,87,75,12.66,US
85,Swift Current,50.2834,-107.8014,overcast clouds,-12.39,89,100,10.49,CA
86,Castro,-24.7911,-50.0119,scattered clouds,68.83,90,32,10.31,BR
87,Nome,64.5011,-165.4064,clear sky,-2.13,78,0,0.0,US
88,Saint-Francois,46.4154,3.9054,scattered clouds,36.48,79,40,3.44,FR
89,Maamba,-17.3667,27.15,light rain,70.2,92,100,2.95,ZM
90,Rincon,32.296,-81.2354,few clouds,68.86,49,20,1.01,US
91,Portland,45.5234,-122.6762,overcast clouds,56.62,90,100,3.0,US
92,Vila Velha,-20.3297,-40.2925,broken clouds,84.15,75,75,4.61,BR
93,Tarakan,3.3,117.6333,scattered clouds,76.5,94,40,0.0,ID
94,Mackay,-21.15,149.2,few clouds,81.68,88,21,6.91,AU
95,Mahibadhoo,3.7833,72.9667,overcast clouds,81.39,78,100,12.1,MV
96,Husavik,66.0449,-17.3389,broken clouds,35.51,85,72,13.65,IS
97,Chenghai,23.4632,116.768,overcast clouds,58.91,88,100,2.24,CN
98,Bitung,1.4451,125.1824,overcast clouds,76.05,86,98,8.05,ID
99,Vila Franca Do Campo,37.7167,-25.4333,overcast clouds,58.19,75,85,11.61,PT
100,Kamenka,51.3223,42.7678,overcast clouds,34.75,99,100,9.86,RU
101,Nouadhibou,20.931,-17.0347,broken clouds,66.18,68,72,16.11,MR
102,Tiksi,71.6872,128.8694,overcast clouds,-11.18,81,96,12.75,RU
103,Ust-Omchug,61.15,149.6333,broken clouds,-17.41,100,82,3.33,RU
104,Saint-Augustin,51.226,-58.6502,snow,10.71,93,100,21.03,CA
105,San Cristobal,7.7669,-72.225,scattered clouds,78.98,27,48,5.44,VE
106,Sabang,5.8933,95.3214,overcast clouds,81.66,76,100,13.42,ID
107,Pak Phanang,8.3511,100.202,broken clouds,77.52,83,72,4.27,TH
108,Bongandanga,1.5,21.05,overcast clouds,76.1,54,99,2.01,CD
109,Nikolskoye,59.7035,30.7861,scattered clouds,19.29,93,37,6.91,RU
110,Georgiyevskoye,58.731,45.024,overcast clouds,12.56,98,98,3.96,RU
111,Saldanha,-33.0117,17.9442,scattered clouds,66.25,90,30,16.35,ZA
112,Jurm,36.8648,70.8342,overcast clouds,26.82,68,100,3.65,AF
113,Kavieng,-2.5744,150.7967,light rain,82.02,75,100,10.49,PG
114,Tuktoyaktuk,69.4541,-133.0374,overcast clouds,-12.39,94,100,21.74,CA
115,Miramar,25.9873,-80.2323,few clouds,81.0,57,20,0.0,US
116,Veraval,20.9,70.3667,clear sky,69.37,75,10,4.27,IN
117,Bambous Virieux,-20.3428,57.7575,broken clouds,75.45,94,75,5.75,MU
118,Gazanjyk,39.2446,55.5154,clear sky,42.58,68,0,11.77,TM
119,East London,-33.0153,27.9116,overcast clouds,71.02,86,90,13.91,ZA
120,Altay,47.8667,88.1167,broken clouds,18.88,62,63,7.11,CN
121,Machachi,-0.5,-78.5667,light rain,62.1,87,100,4.72,EC
122,Sioux Lookout,50.1001,-91.917,overcast clouds,-3.01,88,100,4.85,CA
123,Ribeira Grande,38.5167,-28.7,few clouds,55.8,67,20,13.8,PT
124,Tromso,69.6496,18.957,broken clouds,23.38,86,75,1.01,NO
125,Raga,8.4596,25.678,overcast clouds,76.15,27,96,2.93,SS
126,Komatipoort,-25.4332,31.9548,overcast clouds,76.05,89,90,3.62,ZA
127,Juneau,58.3019,-134.4197,clear sky,5.0,66,0,5.75,US
128,Ponta Do Sol,32.6667,-17.1,scattered clouds,65.01,72,32,5.95,PT
129,Tombouctou,20.0,-3.0,overcast clouds,65.48,19,100,5.97,ML
130,Hovd,48.0056,91.6419,scattered clouds,2.26,82,35,1.83,MN
131,Xingyi,24.1877,102.817,clear sky,42.51,93,2,2.48,CN
132,Maceio,-9.6658,-35.7353,scattered clouds,83.64,69,40,16.11,BR
133,Sincelejo,9.3047,-75.3978,scattered clouds,86.95,46,27,2.75,CO
134,New Norfolk,-42.7826,147.0587,light rain,65.7,88,100,2.13,AU
135,Maarianhamina,60.0973,19.9348,broken clouds,28.26,69,75,8.05,AX
136,Kununurra,-15.7667,128.7333,scattered clouds,82.38,83,40,5.75,AU
137,Shimoda,34.6667,138.95,clear sky,33.1,78,6,4.92,JP
138,Hualmay,-11.0964,-77.6139,broken clouds,74.32,76,56,9.8,PE
139,Maridi,4.9158,29.4742,broken clouds,76.75,35,77,4.63,SS
140,Port Hardy,50.6996,-127.4199,light rain,44.76,91,100,24.34,CA
141,Isetskoye,56.4858,65.3226,overcast clouds,9.79,96,100,5.77,RU
142,Pangnirtung,66.1451,-65.7125,overcast clouds,-14.93,99,100,3.22,CA
143,Hasaki,35.7333,140.8333,few clouds,25.2,73,24,11.05,JP
144,Baruun-Urt,46.6806,113.2792,few clouds,6.06,77,20,11.27,MN
145,Surami,42.0243,43.5556,few clouds,30.96,83,11,4.36,GE
146,Ugoofaaru,5.6667,73.0,overcast clouds,80.98,77,100,9.48,MV
147,Lebu,-37.6167,-73.65,clear sky,62.4,76,3,17.47,CL
148,Coihaique,-45.5752,-72.0662,broken clouds,75.81,46,75,4.61,CL
149,Narsaq,60.9167,-46.05,broken clouds,23.22,73,76,13.33,GL
150,Sao Filipe,14.8961,-24.4956,overcast clouds,75.33,63,100,10.56,CV
151,Marau,-28.4492,-52.2,few clouds,80.76,38,16,12.28,BR
152,Margherita,27.2833,95.6833,overcast clouds,61.97,61,99,2.24,IN
153,Laguna,38.421,-121.4238,mist,60.22,90,100,0.0,US
154,Whitecourt,54.1502,-115.6855,overcast clouds,-13.92,90,100,4.36,CA
155,Faanui,-16.4833,-151.75,few clouds,81.5,70,11,8.93,PF
156,Piney Green,34.716,-77.3202,overcast clouds,58.01,53,100,4.61,US
157,Pingzhuang,42.0372,119.2889,clear sky,19.47,55,0,1.97,CN
158,Bilibino,68.0546,166.4372,overcast clouds,8.35,74,100,3.74,RU
159,Coquimbo,-29.9533,-71.3436,few clouds,67.73,68,20,16.11,CL
160,Auki,-8.7676,160.7034,broken clouds,77.88,89,76,6.64,SB
161,Gizo,-8.103,156.8419,light rain,80.55,80,97,8.9,SB
162,Zafarwal,32.3463,74.8999,overcast clouds,53.15,92,97,5.91,PK
163,Bubaque,11.2833,-15.8333,scattered clouds,80.02,65,45,15.68,GW
164,Plouzane,48.3833,-4.6167,broken clouds,48.29,93,75,6.91,FR
165,Victoria,22.2855,114.1577,broken clouds,66.18,85,84,1.01,HK
166,Poum,-20.2333,164.0167,overcast clouds,81.59,75,91,6.44,NC
167,Miracema Do Tocantins,-9.5618,-48.3967,overcast clouds,75.7,90,100,5.64,BR
168,Puerto Narino,-3.7703,-70.3831,overcast clouds,82.35,67,100,2.1,CO
169,Chuy,-33.6971,-53.4616,clear sky,73.13,50,0,12.5,UY
170,Ouallam,14.3188,2.0866,clear sky,73.98,20,8,9.95,NE
171,Qaanaaq,77.484,-69.3632,broken clouds,1.67,57,69,7.7,GL
172,Saskylakh,71.9167,114.0833,clear sky,-19.25,95,7,8.12,RU
173,Tungor,53.3808,142.9564,overcast clouds,-6.36,86,100,17.31,RU
174,Padang,-0.9492,100.3543,light rain,77.5,87,99,3.71,ID
175,Akyab,20.15,92.9,clear sky,64.96,63,8,5.84,MM
176,Nyaunglebin,17.95,96.7333,overcast clouds,64.36,66,100,5.21,MM
177,Inirida,3.8653,-67.9239,overcast clouds,89.56,43,97,2.75,CO
178,Paita,-5.0892,-81.1144,scattered clouds,77.56,68,25,15.95,PE
