City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
356,Kavaratti,IN,79.77,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
364,San Ignacio,BZ,86.14,scattered clouds,17.1561,-89.0714,Rainforest Haven Inn
381,Abonnema,NG,81.91,broken clouds,4.7084,6.7931,Corper's Lodge Obonoma
383,Mareeba,AU,78.31,scattered clouds,-17.0,145.4333,Trinity Plains Tourist Park
385,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
391,Banikoara,BJ,79.66,broken clouds,11.2985,2.4386,Hôtel de l'UCom CVPC
394,Pergamino,AR,86.25,clear sky,-33.89,-60.5736,Hotel Fachinat
396,Piacabucu,BR,80.2,broken clouds,-10.4056,-36.4344,Piaçabuçu News
402,Bataipora,BR,78.71,broken clouds,-22.2953,-53.2711,Hotel Vale do Ivinhema
411,Cabedelo,BR,83.07,few clouds,-6.9811,-34.8339,Hotel Pigalle
413,Cairns,AU,82.94,clear sky,-16.9167,145.7667,Mantra Trilogy Cairns
417,Port-Gentil,GA,80.51,broken clouds,-0.7193,8.7815,Fengshui Residence
421,Bodden Town,KY,82.98,few clouds,19.2833,-81.25,Will T Place
435,Harper,LR,80.31,broken clouds,4.375,-7.7169,Screensaver
441,Zorritos,PE,79.09,broken clouds,-3.6805,-80.6782,Hotel Pinamar
453,Bairiki,KI,82.4,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
460,Flores,GT,86.14,clear sky,16.9226,-89.8994,Quinta Maya Hotel
467,Tual,ID,83.05,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
469,Bajil,YE,78.13,scattered clouds,15.0584,43.2851,فندق حضرموت
479,Yaviza,PA,82.9,overcast clouds,8.1537,-77.6931,
481,Whithorn,JM,81.45,clear sky,18.2604,-78.0378,Sunset Heal
486,Mumford,GH,81.14,clear sky,5.2618,-0.759,Spanish Villa
490,Mitu,CO,84.74,overcast clouds,1.1983,-70.1733,
499,Santa Maria,BR,81.7,clear sky,-29.6842,-53.8069,Hotel Morotin
503,Karratha,AU,83.44,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
507,Nanakuli,US,78.75,clear sky,21.3906,-158.1547,Camp Pālehua
526,Nirgua,VE,78.66,few clouds,10.1553,-68.5663,"Complejo Agroturistico Lomas de Nirgua, c.a."
534,Tiarei,PF,86.0,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
537,San Carlos De Bariloche,AR,85.75,thunderstorm,-41.1456,-71.3082,Hotel Patagonia
545,Makaha,US,78.71,broken clouds,21.4694,-158.2175,Hawaiian Princess Resort
548,Pangai,TO,82.51,few clouds,-19.8,-174.35,Ha'apai Beach Resort
555,Fare,PF,81.66,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
559,Celestun,MX,80.2,few clouds,20.8667,-90.4,Posada Lilia
572,Acari,PE,78.71,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
575,Bolobo,CD,78.93,overcast clouds,-2.1667,16.2333,Hotel de Stephen
576,Limoeiro Do Ajuru,BR,79.11,broken clouds,-1.8953,-49.3806,Hotel Dalva
580,Wajir,KE,85.5,overcast clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
584,Port Blair,IN,78.31,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
587,El Vigia,VE,85.42,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
588,Ixtapa,MX,78.03,clear sky,20.7,-105.2,Hotel Plaza Providencia
594,El Monte,US,80.37,clear sky,34.0686,-118.0276,"Motel 6 El Monte, CA - Los Angeles"
598,Waingapu,ID,78.67,moderate rain,-9.6567,120.2641,Pondok Wisata Elim
599,Bondoukou,CI,80.15,broken clouds,8.0333,-2.8,Prestige Hotel
602,Natal,BR,83.05,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
603,Luba,GQ,82.45,broken clouds,3.4568,8.5547,
610,Lazaro Cardenas,MX,81.1,broken clouds,17.9583,-102.2,quinta antigua
612,Funadhoo,MV,80.78,broken clouds,6.15,73.2667,Dhaffalhu Tourist Lodge
620,San Miguelito,PA,87.89,scattered clouds,9.0333,-79.5,Conferencista Jose Pepe Quijada
621,Gladstone,AU,78.73,overcast clouds,-23.85,151.25,Highpoint International Hotel
623,Carutapera,BR,78.06,light rain,-1.195,-46.02,Lidera
626,Cockburn Town,TC,79.09,clear sky,21.4612,-71.1419,Osprey Beach Hotel
629,Sao Joao Da Barra,BR,80.69,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
631,Kieta,PG,78.22,light rain,-6.2167,155.6333,Uruna Bay Retreat
632,Sola,VU,81.88,overcast clouds,-13.8833,167.55,Leumerus Bungalows
648,Luziania,BR,78.49,light rain,-16.2525,-47.9503,HOTEL SARON
649,Tomatlan,MX,85.21,clear sky,19.9333,-105.25,El Salvial
650,Kihei,US,80.96,few clouds,20.785,-156.4656,Maui Sunset
651,Tamandare,BR,79.99,clear sky,-8.7597,-35.1047,Pousada 100 Passos
659,Progreso,MX,86.11,clear sky,21.2833,-89.6667,Playa Linda Hotel
660,Jacqueville,CI,82.31,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
663,Yaan,NG,85.05,few clouds,7.3833,8.5667,
669,Mogadishu,SO,78.46,overcast clouds,2.0371,45.3438,Hotel Juba
